"date","values"
1998-06-01,1549
1998-07-01,3192
1998-08-01,20075
1998-09-01,19214
1998-10-01,8777
1998-11-01,3833
1998-12-01,2547
1999-01-01,160
1999-02-01,358
1999-03-01,130
1999-04-01,70
1999-05-01,449
1999-06-01,1439
1999-07-01,3675
1999-08-01,21525
1999-09-01,16106
1999-10-01,12794
1999-11-01,4449
1999-12-01,1703
2000-01-01,87
2000-02-01,182
2000-03-01,405
2000-04-01,92
2000-05-01,930
2000-06-01,3211
2000-07-01,1510
2000-08-01,12791
2000-09-01,10062
2000-10-01,10226
2000-11-01,5497
2000-12-01,3175
2001-01-01,165
2001-02-01,699
2001-03-01,1134
2001-04-01,617
2001-05-01,916
2001-06-01,4227
2001-07-01,1816
2001-08-01,17679
2001-09-01,15528
2001-10-01,14292
2001-11-01,8346
2001-12-01,4256
2002-01-01,590
2002-02-01,667
2002-03-01,901
2002-04-01,405
2002-05-01,1490
2002-06-01,5702
2002-07-01,7529
2002-08-01,43484
2002-09-01,48549
2002-10-01,27110
2002-11-01,23660
2002-12-01,9174
2003-01-01,3704
2003-02-01,1573
2003-03-01,1997
2003-04-01,1038
2003-05-01,1983
2003-06-01,6848
2003-07-01,15918
2003-08-01,34765
2003-09-01,47789
2003-10-01,25341
2003-11-01,19631
2003-12-01,13813
2004-01-01,2178
2004-02-01,805
2004-03-01,1035
2004-04-01,1012
2004-05-01,3131
2004-06-01,9179
2004-07-01,19179
2004-08-01,43320
2004-09-01,71522
2004-10-01,23928
2004-11-01,26424
2004-12-01,16924
2005-01-01,4314
2005-02-01,1048
2005-03-01,758
2005-04-01,832
2005-05-01,1746
2005-06-01,2954
2005-07-01,19364
2005-08-01,63764
2005-09-01,68560
2005-10-01,26624
2005-11-01,16790
2005-12-01,6966
2006-01-01,1973
2006-02-01,879
2006-03-01,903
2006-04-01,709
2006-05-01,843
2006-06-01,2522
2006-07-01,6995
2006-08-01,34208
2006-09-01,51028
2006-10-01,18309
2006-11-01,17474
2006-12-01,8579
2007-01-01,1918
2007-02-01,1761
2007-03-01,1431
2007-04-01,760
2007-05-01,1176
2007-06-01,3519
2007-07-01,6196
2007-08-01,46385
2007-09-01,73141
2007-10-01,28731
2007-11-01,16025
2007-12-01,5437
2008-01-01,938
2008-02-01,527
2008-03-01,860
2008-04-01,569
2008-05-01,383
2008-06-01,1248
2008-07-01,5901
2008-08-01,21445
2008-09-01,26469
2008-10-01,23518
2008-11-01,15450
2008-12-01,6145
2009-01-01,1095
2009-02-01,354
2009-03-01,584
2009-04-01,435
2009-05-01,673
2009-06-01,1023
2009-07-01,2327
2009-08-01,9732
2009-09-01,20527
2009-10-01,19323
2009-11-01,19104
2009-12-01,6505
2010-01-01,1697
2010-02-01,1147
2010-03-01,1176
2010-04-01,633
2010-05-01,1026
2010-06-01,1911
2010-07-01,5868
2010-08-01,45018
2010-09-01,43933
2010-10-01,14798
2010-11-01,12167
2010-12-01,5240
2011-01-01,771
2011-02-01,271
2011-03-01,427
2011-04-01,465
2011-05-01,528
2011-06-01,1083
2011-07-01,2445
2011-08-01,8002
2011-09-01,16987
2011-10-01,9760
2011-11-01,9815
2011-12-01,7632
2012-01-01,1203
2012-02-01,438
2012-03-01,484
2012-04-01,473
2012-05-01,855
2012-06-01,1875
2012-07-01,3095
2012-08-01,20687
2012-09-01,24067
2012-10-01,14814
2012-11-01,13259
2012-12-01,5469
2013-01-01,1181
2013-02-01,374
2013-03-01,738
2013-04-01,518
2013-05-01,796
2013-06-01,1450
2013-07-01,2531
2013-08-01,9444
2013-09-01,16786
2013-10-01,10242
2013-11-01,6615
2013-12-01,8013
2014-01-01,1573
2014-02-01,473
2014-03-01,1010
2014-04-01,632
2014-05-01,673
2014-06-01,1628
2014-07-01,2766
2014-08-01,20113
2014-09-01,20522
2014-10-01,13222
2014-11-01,12169
2014-12-01,7773
2015-01-01,2042
2015-02-01,1047
2015-03-01,572
2015-04-01,762
2015-05-01,407
2015-06-01,1287
2015-07-01,2817
2015-08-01,20471
2015-09-01,29326
2015-10-01,19469
2015-11-01,16935
2015-12-01,11303
2016-01-01,4657
2016-02-01,1559
2016-03-01,2024
2016-04-01,1075
2016-05-01,895
2016-06-01,1663
2016-07-01,6120
2016-08-01,18340
2016-09-01,20460
2016-10-01,14234
2016-11-01,11610
2016-12-01,5124
2017-01-01,796
2017-02-01,379
2017-03-01,736
2017-04-01,618
2017-05-01,805
2017-06-01,1759
2017-07-01,7986
2017-08-01,21244
2017-09-01,36569
2017-10-01,14457
2017-11-01,14105
2017-12-01,7985
2018-01-01,1444
2018-02-01,888
2018-03-01,1359
2018-04-01,513
2018-05-01,772
2018-06-01,1980
2018-07-01,4788
2018-08-01,10421
2018-09-01,24803
2018-10-01,10654
2018-11-01,8881
2018-12-01,1842
2019-01-01,1419
2019-02-01,1368
2019-03-01,3383
2019-04-01,1702
2019-05-01,854
2019-06-01,1880
2019-07-01,5318
2019-08-01,30901
