"date","amazonia","pantanal","mata_atlantica"
1998-06-01,1549,12,303
1998-07-01,3192,206,477
1998-08-01,20075,172,687
1998-09-01,19214,542,1678
1998-10-01,8777,507,1260
1998-11-01,3833,162,522
1998-12-01,2547,58,323
1999-01-01,160,161,299
1999-02-01,358,10,273
1999-03-01,130,17,310
1999-04-01,70,29,163
1999-05-01,449,106,368
1999-06-01,1439,65,303
1999-07-01,3675,845,563
1999-08-01,21525,2988,2581
1999-09-01,16106,1922,3306
1999-10-01,12794,2049,1688
1999-11-01,4449,743,1222
1999-12-01,1703,52,520
2000-01-01,87,93,241
2000-02-01,182,30,186
2000-03-01,405,19,219
2000-04-01,92,1,135
2000-05-01,930,8,204
2000-06-01,3211,29,432
2000-07-01,1510,25,598
2000-08-01,12791,263,1746
2000-09-01,10062,503,1100
2000-10-01,10226,950,2369
2000-11-01,5497,295,230
2000-12-01,3175,74,237
2001-01-01,165,66,87
2001-02-01,699,62,120
2001-03-01,1134,11,40
2001-04-01,617,36,92
2001-05-01,916,67,185
2001-06-01,4227,219,244
2001-07-01,1816,444,590
2001-08-01,17679,2540,1159
2001-09-01,15528,2264,1418
2001-10-01,14292,879,997
2001-11-01,8346,175,495
2001-12-01,4256,19,311
2002-01-01,590,137,251
2002-02-01,667,28,226
2002-03-01,901,10,209
2002-04-01,405,24,352
2002-05-01,1490,29,263
2002-06-01,5702,320,485
2002-07-01,7529,805,1829
2002-08-01,43484,2934,6548
2002-09-01,48549,2662,6764
2002-10-01,27110,2761,4897
2002-11-01,23660,2328,2441
2002-12-01,9174,448,1673
2003-01-01,3704,180,1151
2003-02-01,1573,48,683
2003-03-01,1997,36,834
2003-04-01,1038,40,1263
2003-05-01,1983,107,1744
2003-06-01,6848,170,2500
2003-07-01,15918,260,3144
2003-08-01,34765,517,9826
2003-09-01,47789,1188,11963
2003-10-01,25341,715,7588
2003-11-01,19631,378,2148
2003-12-01,13813,83,1589
2004-01-01,2178,185,572
2004-02-01,805,126,469
2004-03-01,1035,141,712
2004-04-01,1012,68,692
2004-05-01,3131,15,318
2004-06-01,9179,240,1335
2004-07-01,19179,384,1558
2004-08-01,43320,1164,5778
2004-09-01,71522,3963,7396
2004-10-01,23928,1912,5344
2004-11-01,26424,335,2624
2004-12-01,16924,155,1317
2005-01-01,4314,20,752
2005-02-01,1048,107,578
2005-03-01,758,100,867
2005-04-01,832,163,551
2005-05-01,1746,331,907
2005-06-01,2954,435,939
2005-07-01,19364,1259,1721
2005-08-01,63764,5993,5494
2005-09-01,68560,2997,2632
2005-10-01,26624,933,5719
2005-11-01,16790,125,2331
2005-12-01,6966,73,785
2006-01-01,1973,28,617
2006-02-01,879,51,783
2006-03-01,903,36,744
2006-04-01,709,19,781
2006-05-01,843,104,1510
2006-06-01,2522,101,1433
2006-07-01,6995,375,3651
2006-08-01,34208,892,6807
2006-09-01,51028,1024,5120
2006-10-01,18309,266,1884
2006-11-01,17474,254,1006
2006-12-01,8579,23,547
2007-01-01,1918,6,400
2007-02-01,1761,13,450
2007-03-01,1431,30,672
2007-04-01,760,68,569
2007-05-01,1176,101,710
2007-06-01,3519,239,1532
2007-07-01,6196,341,1940
2007-08-01,46385,1858,5055
2007-09-01,73141,5498,7170
2007-10-01,28731,1481,6451
2007-11-01,16025,189,3283
2007-12-01,5437,45,979
2008-01-01,938,14,490
2008-02-01,527,13,527
2008-03-01,860,20,478
2008-04-01,569,28,489
2008-05-01,383,48,1019
2008-06-01,1248,44,523
2008-07-01,5901,216,2436
2008-08-01,21445,588,3209
2008-09-01,26469,1660,4094
2008-10-01,23518,1046,3983
2008-11-01,15450,274,2154
2008-12-01,6145,594,930
2009-01-01,1095,380,507
2009-02-01,354,117,333
2009-03-01,584,71,619
2009-04-01,435,525,660
2009-05-01,673,815,625
2009-06-01,1023,308,687
2009-07-01,2327,311,723
2009-08-01,9732,695,4198
2009-09-01,20527,1127,1831
2009-10-01,19323,919,2317
2009-11-01,19104,414,815
2009-12-01,6505,55,626
2010-01-01,1697,31,537
2010-02-01,1147,47,657
2010-03-01,1176,88,390
2010-04-01,633,87,387
2010-05-01,1026,67,430
2010-06-01,1911,247,1098
2010-07-01,5868,511,1718
2010-08-01,45018,1548,6473
2010-09-01,43933,3072,5026
2010-10-01,14798,1142,2561
2010-11-01,12167,385,835
2010-12-01,5240,795,496
2011-01-01,771,145,274
2011-02-01,271,22,363
2011-03-01,427,2,323
2011-04-01,465,2,254
2011-05-01,528,20,552
2011-06-01,1083,42,855
2011-07-01,2445,105,1450
2011-08-01,8002,309,3191
2011-09-01,16987,807,7050
2011-10-01,9760,562,1836
2011-11-01,9815,873,618
2011-12-01,7632,643,444
2012-01-01,1203,188,317
2012-02-01,438,83,455
2012-03-01,484,97,690
2012-04-01,473,38,609
2012-05-01,855,115,687
2012-06-01,1875,109,500
2012-07-01,3095,490,1052
2012-08-01,20687,2698,2810
2012-09-01,24067,2518,3082
2012-10-01,14814,832,3077
2012-11-01,13259,157,763
2012-12-01,5469,122,660
2013-01-01,1181,108,412
2013-02-01,374,55,430
2013-03-01,738,115,549
2013-04-01,518,51,488
2013-05-01,796,47,478
2013-06-01,1450,17,356
2013-07-01,2531,129,1087
2013-08-01,9444,440,2280
2013-09-01,16786,1201,2839
2013-10-01,10242,544,1454
2013-11-01,6615,513,509
2013-12-01,8013,176,506
2014-01-01,1573,103,423
