"state","step","criteria","STL.STACK","knn","pls","ridge","svmLinear2","STACK","knn.1","pls.1","ridge.1","svmLinear2.1"
"acre","1-step","MAE",415.68657664458,271.754106534043,609.704899670185,610.478262728256,640.261419487457,316.352878977855,305,527.843404819314,534.439833371201,624.544321421061
"acre","1-step","MAPE",0.601332072860578,Inf,Inf,Inf,Inf,15.1731946558753,0.766381040628207,NA,Inf,Inf
"acre","1-step","RMSE",962.773351764925,454.562954351504,917.241717907427,916.714839425556,1109.91997634087,627.714034782925,647.021483414577,948.442985977041,950.037294671523,1226.16531938798
"acre","2-step","MAE",400.785163362821,265.637111274778,704.004872090252,702.922200110953,693.36410536366,320.198659112056,283.1,608.086223123445,612.65301261605,681.705014884906
"acre","2-step","MAPE",0.771848578318393,Inf,Inf,Inf,Inf,0.892703983544052,0.764816075518499,NA,Inf,3.96505837735187
"acre","2-step","RMSE",792.929950648454,452.402554528412,945.611397268623,944.595359933871,1141.43960141482,602.095203235186,588.932989962922,983.006727208112,986.80959142063,1286.82516653617
"acre","3-step","MAE",537.138341585795,308.20031191896,732.158941724927,734.067015947321,659.614828412479,1240.36817755302,192.483333333333,607.563099314474,611.054736804459,672.15149322205
"acre","3-step","MAPE",1.15693868130865,Inf,0.959337080343289,Inf,Inf,1.04542702444093,0.658100657276266,NA,Inf,Inf
"acre","3-step","RMSE",1080.95957217799,581.411749000269,969.880001385755,967.35699946769,1138.57551608921,2463.62345737295,355.006399003361,984.333977245279,987.673118607494,1286.1580382267
"acre","4-step","MAE",346.504541079203,246.319135320314,766.624897136644,768.498157072239,733.486614725564,330.860677202543,293.466666666667,769.567347918564,774.475443671188,749.618531533628
"acre","4-step","MAPE",0.784248184119676,Inf,Inf,Inf,Inf,0.675541045528723,0.637814261373986,NA,Inf,Inf
"acre","4-step","RMSE",665.879290672714,416.080641778614,1063.34053915333,1068.71632323655,1273.32450265603,641.045363520311,581.140596872507,1229.07857863631,1232.8345293519,1425.75823050427
