"date","acre","amapa","amazonas","maranhao","mato_grosso","para","rondonia","roraima","tocantins"
1998-06-01,3,0,2,78,2200,58,27,0,252
1998-07-01,35,0,72,276,3711,639,366,1,640
1998-08-01,131,1,320,1177,15404,6816,2254,0,3748
1998-09-01,512,20,263,3933,10360,6237,3756,2,5154
1998-10-01,44,41,82,5140,2705,3666,486,1,1736
1998-11-01,0,131,6,2235,182,1862,3,1,1
1998-12-01,7,84,196,1396,76,1009,33,16,9
1999-01-01,0,0,3,54,39,87,1,15,36
1999-02-01,0,1,43,6,28,285,1,20,1
1999-03-01,0,2,7,17,18,7,8,98,1
1999-04-01,0,0,2,4,76,6,3,16,9
1999-05-01,0,0,0,3,730,4,3,0,25
1999-06-01,0,2,7,32,2201,37,10,3,114
1999-07-01,1,0,11,258,3926,982,135,4,373
1999-08-01,67,0,255,897,18563,6179,1977,1,1284
1999-09-01,212,4,214,1739,11726,4417,3059,3,3421
1999-10-01,63,25,476,3207,6111,5026,1884,10,1378
1999-11-01,4,26,28,1494,842,2682,41,15,29
1999-12-01,0,41,2,1001,47,766,0,35,16
2000-01-01,0,2,7,19,44,30,0,18,15
2000-02-01,0,0,62,11,35,29,6,57,6
2000-03-01,11,0,69,6,60,181,9,125,4
2000-04-01,1,0,18,6,59,40,0,0,0
2000-05-01,1,0,51,28,1192,12,15,7,69
2000-06-01,1,0,6,94,4358,59,54,0,280
2000-07-01,1,0,39,233,1335,426,120,0,503
2000-08-01,136,3,180,839,6059,5484,2200,9,1952
2000-09-01,261,19,193,1364,6251,2569,2440,12,2552
2000-10-01,18,42,145,2654,6063,4308,641,25,1057
2000-11-01,0,157,27,2267,502,3366,13,32,96
2000-12-01,0,30,60,1462,98,1697,7,77,20
2001-01-01,0,0,3,29,44,34,0,101,19
2001-02-01,0,0,8,1,54,16,2,646,6
2001-03-01,0,0,6,0,24,0,0,1107,0
2001-04-01,0,0,1,2,309,0,0,380,19
2001-05-01,0,0,0,21,1191,7,7,9,49
2001-06-01,1,0,5,101,6641,42,31,1,303
2001-07-01,3,1,9,549,1554,709,74,1,834
2001-08-01,399,12,499,2035,7755,9042,2133,4,2239
2001-09-01,288,95,168,4550,8487,6136,1929,1,4845
2001-10-01,137,193,332,6597,6544,5102,797,13,682
2001-11-01,1,406,244,3521,373,4936,92,76,100
2001-12-01,0,593,22,1290,37,2566,1,76,21
2002-01-01,0,7,17,49,172,144,6,302,36
2002-02-01,1,2,2,116,22,120,8,476,48
2002-03-01,0,0,5,16,103,14,1,819,33
2002-04-01,0,0,2,28,641,11,3,41,39
2002-05-01,0,3,8,71,2522,18,15,0,139
2002-06-01,0,0,5,227,7879,149,143,0,397
2002-07-01,59,2,338,1675,6932,1308,741,11,1126
2002-08-01,1268,21,1790,3789,16911,21369,5484,18,3313
2002-09-01,4337,152,2916,5543,18707,11379,15903,91,6981
2002-10-01,932,710,1824,7152,10863,7848,5410,238,2137
2002-11-01,139,1473,1221,8421,3247,12795,875,188,226
2002-12-01,3,294,267,3377,1127,5083,102,282,72
2003-01-01,14,35,379,575,883,1440,69,761,51
2003-02-01,0,0,129,13,566,23,14,1063,12
2003-03-01,0,5,94,24,541,28,12,1486,21
2003-04-01,5,3,42,112,930,14,18,354,81
2003-05-01,18,1,24,236,2765,112,102,6,293
2003-06-01,18,3,36,865,9038,403,230,4,869
2003-07-01,427,1,655,2675,12311,3814,1682,0,1502
2003-08-01,3163,21,3017,2407,12841,8875,9052,6,1553
2003-09-01,5803,135,2594,7799,19936,12633,10782,8,5640
2003-10-01,1041,526,1851,8588,6660,6673,7593,24,1772
2003-11-01,30,1117,780,7536,2443,10732,750,52,197
2003-12-01,4,669,590,3718,1646,8293,253,223,133
2004-01-01,0,58,277,338,261,875,31,522,41
